event_id,segment_id,stage,joint,amplitude_deg,direction,repeat,commanded_delta_deg,settle_ended_by,dropped_ratio,frame_count
pretest-J1-a0p01-d+1-r01-move-to,pretest-J1-a0p01-d+1-r01-move-to,pretest,J1,0.01,1,1,0.01,settled,0.0,197
pretest-J1-a0p01-d+1-r02-move-to,pretest-J1-a0p01-d+1-r02-move-to,pretest,J1,0.01,1,2,0.01,settled,0.0,197
pretest-J1-a0p01-d-1-r01-move-to,pretest-J1-a0p01-d-1-r01-move-to,pretest,J1,0.01,-1,1,-0.01,settled,0.0,197
pretest-J1-a0p01-d-1-r02-move-to,pretest-J1-a0p01-d-1-r02-move-to,pretest,J1,0.01,-1,2,-0.01,settled,0.0,197
pretest-J1-a0p05-d+1-r01-move-to,pretest-J1-a0p05-d+1-r01-move-to,pretest,J1,0.05,1,1,0.05,settled,0.0,253
pretest-J1-a0p05-d+1-r02-move-to,pretest-J1-a0p05-d+1-r02-move-to,pretest,J1,0.05,1,2,0.05,settled,0.0,253
pretest-J1-a0p05-d-1-r01-move-to,pretest-J1-a0p05-d-1-r01-move-to,pretest,J1,0.05,-1,1,-0.05,settled,0.0,253
pretest-J1-a0p05-d-1-r02-move-to,pretest-J1-a0p05-d-1-r02-move-to,pretest,J1,0.05,-1,2,-0.05,settled,0.0,253
pretest-J1-a0p2-d+1-r01-move-to,pretest-J1-a0p2-d+1-r01-move-to,pretest,J1,0.2,1,1,0.2,settled,0.0,295
pretest-J1-a0p2-d+1-r02-move-to,pretest-J1-a0p2-d+1-r02-move-to,pretest,J1,0.2,1,2,0.2,settled,0.0,295
pretest-J1-a0p2-d-1-r01-move-to,pretest-J1-a0p2-d-1-r01-move-to,pretest,J1,0.2,-1,1,-0.2,settled,0.0,295
pretest-J1-a0p2-d-1-r02-move-to,pretest-J1-a0p2-d-1-r02-move-to,pretest,J1,0.2,-1,2,-0.2,settled,0.0,295
formal_a-J1-a0p05-d+1-r01-move-up01,formal_a-J1-a0p05-d+1-r01-move-up01,formal_a,J1,0.05,1,1,0.05,settled,0.0,153
formal_a-J1-a0p05-d+1-r01-move-up02,formal_a-J1-a0p05-d+1-r01-move-up02,formal_a,J1,0.05,1,1,0.1,settled,0.0,153
