event_id,joint,stage,amplitude_deg,direction,direction_sign,repeat,segment_id,commanded_delta_deg,rtde_command_delta_deg,rtde_actual_delta_deg,rtde_response_ratio,quantization_deg,jump_count,max_jump_deg,overshoot_ratio,oscillation_count,rtde_settle_s,rtde_settle_ended_by,vision_dx_px,vision_dy_px,vision_proj_px,vision_equiv_deg,rotation_deg,rotation_equiv_deg,detection_valid_ratio,direction_deg_used,direction_source,sensitivity_px_per_deg,sensitivity_source,snr,pre_frames,steady_frames,depth_mm,in_plane_mm,depth_ratio,depth_ratio_upper,depth_frames,depth_confidence,depth_note,residual_px,residual_deg,residual_ratio,residual_decaying,vision_moves_after_settle,static_noise_px,static_noise_deg,issues
pretest-J1-a0p01-d+1-r01-move-to,J1,pretest,0.01,1,+,1,pretest-J1-a0p01-d+1-r01-move-to,0.01,0.01,0.01,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,2.14897,-0.99058,2.16036,0.052366,,,1.0,359.333,measured_0.2deg,41.255,px_per_deg_from_actual_q,3.8834,2,1,0.05069,0.35642,0.1422,0.1422,1,resolved,深度 0.0507 mm，面内 0.3564 mm,0.25306,,0.4549,0,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
pretest-J1-a0p01-d+1-r02-move-to,J1,pretest,0.01,1,+,2,pretest-J1-a0p01-d+1-r02-move-to,0.01,0.01,0.01,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,0.99611,-0.98151,1.00747,0.024421,,,1.0,359.333,measured_0.2deg,41.255,px_per_deg_from_actual_q,1.811,2,1,,0.24578,,0.4281,1,below_resolution,深度变化低于可分辨下限（0.1052 mm），无法判断实际深度，只能给上限 0.1052 mm,0.4936,,0.8873,0,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
pretest-J1-a0p01-d-1-r01-move-to,J1,pretest,0.01,-1,-,1,pretest-J1-a0p01-d-1-r01-move-to,-0.01,-0.01,-0.01,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,-0.06934,0.03429,-0.06974,-0.001699,,,1.0,359.333,measured_0.2deg,41.0478,px_per_deg_from_actual_q,0.1254,2,1,,0.01567,,5.1659,1,below_resolution,深度变化低于可分辨下限（0.0809 mm），无法判断实际深度，只能给上限 0.0809 mm,0.26488,,0.4761,1,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。；轴向分量偏大：深度/面内 = 5.166 > 0.5（深度变化低于可分辨下限（0.0809 mm），无法判断实际深度，只能给上限 0.0809 mm）
pretest-J1-a0p01-d-1-r02-move-to,J1,pretest,0.01,-1,-,2,pretest-J1-a0p01-d-1-r02-move-to,-0.01,-0.01,-0.01,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,0.46013,1.30427,0.44491,0.010839,,,1.0,359.333,measured_0.2deg,41.0478,px_per_deg_from_actual_q,0.7998,2,1,,0.13633,,0.5128,1,below_resolution,深度变化低于可分辨下限（0.0699 mm），无法判断实际深度，只能给上限 0.0699 mm,0.45979,,0.8265,0,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。；轴向分量偏大：深度/面内 = 0.513 > 0.5（深度变化低于可分辨下限（0.0699 mm），无法判断实际深度，只能给上限 0.0699 mm）
pretest-J1-a0p05-d+1-r01-move-to,J1,pretest,0.05,1,+,1,pretest-J1-a0p05-d+1-r01-move-to,0.05,0.05,0.05,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,1.13468,-0.19302,1.13685,0.027557,,,1.0,359.333,measured_0.2deg,41.255,px_per_deg_from_actual_q,2.0435,2,1,0.01903,0.35381,0.0538,0.0538,1,resolved,深度 0.0190 mm，面内 0.3538 mm,0.26004,,0.4674,1,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
pretest-J1-a0p05-d+1-r02-move-to,J1,pretest,0.05,1,+,2,pretest-J1-a0p05-d+1-r02-move-to,0.05,0.05,0.05,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,1.99369,-0.02663,1.99386,0.04833,,,1.0,359.333,measured_0.2deg,41.255,px_per_deg_from_actual_q,3.5841,2,1,,0.39098,,0.4358,1,below_resolution,深度变化低于可分辨下限（0.1704 mm），无法判断实际深度，只能给上限 0.1704 mm,0.46869,,0.8425,0,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
pretest-J1-a0p05-d-1-r01-move-to,J1,pretest,0.05,-1,-,1,pretest-J1-a0p05-d-1-r01-move-to,-0.05,-0.05,-0.05,1.0,0.000611,48,0.187785,-0.0,0,0.3403,settled,-2.50717,0.05464,-2.50764,-0.061091,,,1.0,359.333,measured_0.2deg,41.0478,px_per_deg_from_actual_q,4.5076,2,1,,0.44901,,0.0607,1,below_resolution,深度变化低于可分辨下限（0.0273 mm），无法判断实际深度，只能给上限 0.0273 mm,0.69986,,1.258,1,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
pretest-J1-a0p05-d-1-r02-move-to,J1,pretest,0.05,-1,-,2,pretest-J1-a0p05-d-1-r02-move-to,-0.05,-0.05,-0.05,1.0,0.000611,48,0.187785,-0.0,0,0.3403,settled,-2.95679,0.00061,-2.95659,-0.072028,,,1.0,359.333,measured_0.2deg,41.0478,px_per_deg_from_actual_q,5.3146,2,1,,0.59183,,0.1329,1,below_resolution,深度变化低于可分辨下限（0.0787 mm），无法判断实际深度，只能给上限 0.0787 mm,0.48356,,0.8692,0,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
pretest-J1-a0p2-d+1-r01-move-to,J1,pretest,0.2,1,+,1,pretest-J1-a0p2-d+1-r01-move-to,0.2,0.2,0.2,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,8.4974,-0.49811,8.50262,0.206099,,,1.0,359.333,measured_0.2deg,41.255,px_per_deg_from_actual_q,15.2838,2,1,,1.57705,,0.0326,1,below_resolution,深度变化低于可分辨下限（0.0514 mm），无法判断实际深度，只能给上限 0.0514 mm,0.5006,,0.8998,1,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
pretest-J1-a0p2-d+1-r02-move-to,J1,pretest,0.2,1,+,2,pretest-J1-a0p2-d+1-r02-move-to,0.2,0.2,0.2,1.0,0.000611,48,0.187785,0.0,0,0.3403,settled,8.00348,0.30594,7.99937,0.193901,,,1.0,359.333,measured_0.2deg,41.255,px_per_deg_from_actual_q,14.3792,2,1,,1.42,,0.1138,1,below_resolution,深度变化低于可分辨下限（0.1616 mm），无法判断实际深度，只能给上限 0.1616 mm,0.51784,,0.9308,1,0,0.55631,,保持窗口（后半段）只有 1 帧有效数据，少于 5 帧：这里报出的数是一两次抽样的结果，不是一个可以下结论的均值。数据不用重采——把离线分析的步长调小（例如 1～2）再分析一遍即可。
