segment_id,frame_id,host_ns,analysis_time_s,valid,corner_count,centroid_x_px,centroid_y_px,shift_x_px,shift_y_px,rotation_deg,residual_px,scale,r_rms_px,quality,mm_per_pixel,mean_brightness,blur_variance,drop_before
static-all-ana-d0-r01-hold-hold,693,2555924714417540,0.000000,1,88,239.5099,179.5257,0.0146,0.0965,-0.00809,0.0000,1.0000349,62.4823,1.0000,0.187401,131.903,589.052,0
static-all-ana-d0-r01-hold-hold,694,2555924721980120,0.007563,1,88,240.3502,179.5229,0.8548,0.0937,0.05707,0.1271,1.0000302,62.4821,0.8531,0.187401,131.890,441.083,0
static-all-ana-d0-r01-hold-hold,695,2555924729542700,0.015125,1,88,239.4453,179.5228,-0.0500,0.0936,-0.00662,0.0371,1.0000565,62.4836,0.9547,0.187401,131.901,453.503,0
static-all-ana-d0-r01-hold-hold,696,2555924737105280,0.022688,1,88,239.5068,179.4608,0.0115,0.0316,-0.01147,0.0299,1.0000183,62.4813,0.9634,0.187401,131.902,497.131,0
static-all-ana-d0-r01-hold-hold,697,2555924744667860,0.030250,1,88,239.4172,179.5240,-0.0781,0.0948,-0.00870,0.0433,0.9999736,62.4785,0.9475,0.187401,131.910,408.738,0
static-all-ana-d0-r01-hold-hold,698,2555924752230440,0.037813,1,88,239.0022,179.4714,-0.4931,0.0422,-0.01302,0.0493,1.0000241,62.4816,0.9403,0.187401,131.905,377.715,0
static-all-ana-d0-r01-hold-hold,699,2555924759793020,0.045375,1,88,239.4706,179.5454,-0.0247,0.1162,0.00110,0.0337,1.0000098,62.4807,0.9587,0.187401,131.896,468.463,0
static-all-ana-d0-r01-hold-hold,700,2555924767355600,0.052938,1,88,239.5306,179.5160,0.0353,0.0868,-0.00939,0.0366,1.0000271,62.4818,0.9553,0.187401,131.907,498.644,0
static-all-ana-d0-r01-hold-hold,701,2555924774918180,0.060501,1,88,238.5117,178.5284,-0.9836,-0.9008,-0.00520,0.0915,0.9998830,62.4729,0.8925,0.187401,131.909,584.203,0
static-all-ana-d0-r01-hold-hold,702,2555924782480760,0.068063,1,88,239.4664,179.5444,-0.0290,0.1152,-0.00320,0.0312,1.0000257,62.4817,0.9618,0.187401,131.903,442.919,0
static-all-ana-d0-r01-hold-hold,703,2555924790043340,0.075626,1,88,239.2563,179.5259,-0.2390,0.0967,0.01677,0.0827,0.9998871,62.4731,0.9024,0.187401,131.914,421.308,0
static-all-ana-d0-r01-hold-hold,704,2555924797605920,0.083188,1,88,240.4766,179.4627,0.9813,0.0335,-0.00926,0.0692,1.0000297,62.4820,0.9171,0.187401,131.907,485.660,0
static-all-ana-d0-r01-hold-hold,705,2555924805168500,0.090751,1,88,239.5208,178.5232,0.0255,-0.9060,-0.01286,0.0707,1.0000191,62.4813,0.9154,0.187401,131.898,534.431,0
static-all-ana-d0-r01-hold-hold,706,2555924812731080,0.098314,1,88,238.9177,179.5320,-0.5777,0.1028,0.04865,0.1140,0.9999412,62.4765,0.8673,0.187401,131.901,383.038,0
static-all-ana-d0-r01-hold-hold,707,2555924820293660,0.105876,1,88,239.4811,179.4743,-0.0143,0.0451,-0.01004,0.0348,1.0000191,62.4813,0.9575,0.187401,131.899,573.789,0
static-all-ana-d0-r01-hold-hold,708,2555924827856240,0.113439,1,88,239.3451,179.7960,-0.1502,0.3668,-0.14613,0.0944,1.0000001,62.4802,0.8887,0.187401,131.904,368.647,0
static-all-ana-d0-r01-hold-hold,709,2555924835418820,0.121001,1,88,239.4677,179.4770,-0.0276,0.0478,-0.00722,0.0321,0.9999998,62.4801,0.9607,0.187401,131.909,532.153,0
